hour_key,wiper_on,wiper_off,wiper_total,rain_ratio,is_rainy,avg_temp,min_temp,max_temp,is_cold,is_freezing
2022-10-07 10,223,50,326,0.6840490797546013,True,12.160023321348751,8.0,24.0,False,False
2022-10-07 11,231,46,320,0.721875,True,12.486010329348543,7.5,29.0,False,False
2022-10-07 12,214,16,280,0.7642857142857142,True,12.427049286640726,8.0,29.5,False,False
2022-10-07 13,197,14,263,0.7490494296577946,True,12.481122331879734,7.5,43.0,False,False
2022-10-07 14,263,8,325,0.8092307692307692,True,12.260161696643037,8.0,30.0,False,False
2022-10-07 15,292,15,376,0.776595744680851,True,11.742283318709175,8.0,34.5,False,False
2022-10-07 16,268,11,331,0.8096676737160121,True,11.352582218782064,7.0,38.5,False,False
2022-10-07 17,246,15,298,0.825503355704698,True,11.007891623155999,6.0,27.0,False,False
2022-10-07 18,232,39,304,0.7631578947368421,True,10.620931558101807,6.0,31.5,False,False
2022-10-07 19,355,193,609,0.5829228243021346,True,10.165139190166306,5.0,23.5,False,False
2022-10-07 20,177,66,275,0.6436363636363637,True,9.696048552361935,5.0,21.5,False,False
2022-10-07 21,352,268,644,0.546583850931677,True,9.236762718788297,5.0,25.5,False,False
2022-10-07 22,161,127,344,0.4680232558139535,True,8.667000779596837,3.5,21.5,False,False
2022-10-07 23,46,19,102,0.45098039215686275,True,8.291722802290334,5.0,19.0,False,False
2022-10-08 00,55,37,97,0.5670103092783505,True,7.892391155061118,4.0,26.0,False,False
2022-10-08 01,4,0,11,0.36363636363636365,True,7.1293371886121,3.5,31.0,False,False
2022-10-08 02,5,2,9,0.5555555555555556,True,6.22483989021043,2.0,17.5,False,False
2022-10-08 03,6,3,11,0.5454545454545454,True,5.329749804534793,2.5,15.0,False,False
2022-10-08 04,9,3,14,0.6428571428571429,True,4.688637617209046,2.0,16.5,True,False
2022-10-08 05,9,4,18,0.5,True,5.38176406926407,2.5,18.5,False,False
2022-10-08 06,51,21,83,0.6144578313253012,True,5.782152943732348,3.0,19.5,False,False
2022-10-08 07,91,37,151,0.6026490066225165,True,5.998643761301989,2.0,20.5,False,False
2022-10-08 08,230,110,391,0.5882352941176471,True,6.690622975987718,2.5,20.0,False,False
2022-10-08 09,291,115,494,0.5890688259109311,True,7.948269451494528,3.5,22.5,False,False
2022-10-08 10,284,81,411,0.6909975669099757,True,9.282175804623614,4.5,37.0,False,False
